run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,time_microseconds
302,fork,25578361666064,103826,0,0,0,0,-1,-1,103.83
303,fork,25578361771856,69670,0,0,0,0,-1,-1,69.67
304,fork,25578361844050,75818,0,0,0,0,-1,-1,75.82
305,fork,25578361921857,61217,0,0,0,0,-1,-1,61.22
306,fork,25578361984823,78986,0,0,0,0,-1,-1,78.99
307,fork,25578362065682,88199,0,0,0,0,-1,-1,88.20
308,fork,25578362155613,67100,0,0,0,0,-1,-1,67.10
309,fork,25578362224679,69480,0,0,0,0,-1,-1,69.48
310,fork,25578362295879,65746,0,0,0,0,-1,-1,65.75
311,fork,25578362363342,59771,0,0,0,0,-1,-1,59.77
312,fork,25578362424844,58891,0,0,0,0,-1,-1,58.89
313,fork,25578362485576,62870,0,0,0,0,-1,-1,62.87
314,fork,25578362550161,58920,0,0,0,0,-1,-1,58.92
315,fork,25578362610915,64665,0,0,0,0,-1,-1,64.67
316,fork,25578362677484,64519,0,0,0,0,-1,-1,64.52
317,fork,25578362743826,62314,0,0,0,0,-1,-1,62.31
318,fork,25578362807883,62388,0,0,0,0,-1,-1,62.39
319,fork,25578362871977,63684,0,0,0,0,-1,-1,63.68
320,fork,25578362937470,59780,0,0,0,0,-1,-1,59.78
321,fork,25578362999095,150932,0,0,0,0,-1,-1,150.93
322,fork,25578363154615,97253,0,0,0,0,-1,-1,97.25
323,fork,25578363254786,75138,0,0,0,0,-1,-1,75.14
324,fork,25578363332599,81495,0,0,0,0,-1,-1,81.50
325,fork,25578363440040,82452,0,0,0,0,-1,-1,82.45
326,fork,25578363524520,75508,0,0,0,0,-1,-1,75.51
327,fork,25578363602068,93600,0,0,0,0,-1,-1,93.60
328,fork,25578363697711,76011,0,0,0,0,-1,-1,76.01
329,fork,25578363775786,74701,0,0,0,0,-1,-1,74.70
330,fork,25578363852531,79035,0,0,0,0,-1,-1,79.03
331,fork,25578363933583,108136,0,0,0,0,-1,-1,108.14
332,fork,25578364044047,82356,0,0,0,0,-1,-1,82.36
333,fork,25578364128470,78281,0,0,0,0,-1,-1,78.28
334,fork,25578364208776,75929,0,0,0,0,-1,-1,75.93
335,fork,25578364286728,93443,0,0,0,0,-1,-1,93.44
336,fork,25578364382142,74766,0,0,0,0,-1,-1,74.77
337,fork,25578364458933,73236,0,0,0,0,-1,-1,73.24
338,fork,25578364534207,78089,0,0,0,0,-1,-1,78.09
339,fork,25578364614311,75864,0,0,0,0,-1,-1,75.86
340,fork,25578364692193,72818,0,0,0,0,-1,-1,72.82
341,fork,25578364767036,77800,0,0,0,0,-1,-1,77.80
342,fork,25578364846869,71696,0,0,0,0,-1,-1,71.70
343,fork,25578364920545,72944,0,0,0,0,-1,-1,72.94
344,fork,25578364995464,85815,0,0,0,0,-1,-1,85.81
345,fork,25578365083343,76480,0,0,0,0,-1,-1,76.48
346,fork,25578365162108,74945,0,0,0,0,-1,-1,74.94
347,fork,25578365239033,82597,0,0,0,0,-1,-1,82.60
348,fork,25578365323621,72766,0,0,0,0,-1,-1,72.77
349,fork,25578365398401,105221,0,0,0,0,-1,-1,105.22
350,fork,25578365505750,75426,0,0,0,0,-1,-1,75.43
351,fork,25578365583203,73056,0,0,0,0,-1,-1,73.06
352,fork,25578365658296,72423,0,0,0,0,-1,-1,72.42
353,fork,25578365732738,76213,0,0,0,0,-1,-1,76.21
